Layer,Name,GEOID,Population,EDE_2020-2024,INC_2020-2024,PMC_2020,CHAKUCW_2017,POV_2020-2024,CHAVCNN_2023,CHAKNKC_2023
(Indicator name),,,,"College graduation rate (% of residents), 2020-2024","Median household income, 2020-2024","Particulate matter (PM 2.5) concentration (µg/m3), 2020","Tree Canopy (% tree canopy), 2017","Poverty rate (% of residents), 2020-2024","Environmental Justice Impact Rate (% of population), 2023","Environmental Justice Impact (count of residents), 2023"
(Definition),,,,"Residents 25 or older with a four-year college (bachelor's) degree or higher","Income in the past 12 months.","Annual average concentration in micrograms per cubic meter. PM 2.5, or particulate matter smaller than 2.5 microns in diameter, is one of the most dangerous pollutants because the particles can penetrate deep into the alveoli of the lungs.","Percent of Community Area shaded with tree foliage","Percent of residents in families that are in poverty (below the Federal Poverty Level).","Estimated percent of population within a community area that live in an Environmental Justice (EJ) priority neighborhood. (Based on Chicago EJ Index score - https://chicagohealthatlas.org/indicators/CHAIXYP?topic=chicago-environmental-justice-index)","Estimated count of population within a community area that live in an Environmental Justice (EJ) priority neighborhood. (Based on Chicago EJ Index score - https://chicagohealthatlas.org/indicators/CHAIXYP?topic=chicago-environmental-justice-index)"
(Citation),,,,"U.S. Census Bureau - American Community Survey (ACS) (Table B15002)","U.S. Census Bureau - American Community Survey (ACS) (Table B19013)","Environmental Protection Agency - Environmental Justice Screening (EJScreen) (EJSCREEN)","","U.S. Census Bureau - American Community Survey (ACS) (Table B17001)","Chicago Department of Public Health - Environmental Permitting and Inspection","Chicago Department of Public Health - Environmental Permitting and Inspection"
---,---,---,---,---,---,---,---,---,---,---
Community area,Rogers Park,1,55454,52.54441935102152,63293.40698066556,8.664522759815895,27.4,17.476964689546712,0.0,0.0
Community area,Norwood Park,10,41069,48.29566977717577,114149.65984845998,9.004154815334369,22.9,5.366861420925904,0.0,0.0
Community area,Jefferson Park,11,26201,44.6630360138381,97374.54676004623,8.994515812531844,22.5,5.58079121711678,0.0,0.0
Community area,Forest Glen,12,19579,65.63162501776569,139311.02517710617,8.906693833922677,44.2,4.750916408479354,0.0,0.0
Community area,North Park,13,17522,47.3598042504914,68716.37674567565,8.908190318938928,33.0,16.937650691684304,0.0,0.0
Community area,Albany Park,14,48549,44.02993240531397,87083.51175687861,8.970502350092325,23.8,11.989618877275305,0.0,0.0
Community area,Portage Park,15,63038,38.787194974092415,92328.88122555522,9.08838752964843,19.4,10.754437712813203,0.0,0.0
Community area,Irving Park,16,51911,51.784743110471304,93122.02124928293,9.029941029931805,24.8,10.712245870491989,7.510650632,3896.798911
Community area,Dunning,17,43120,27.36477535255058,88162.72773993322,9.169997398774296,18.8,9.001393344336929,0.0,0.0
Community area,Montclare,18,14412,22.400912997446927,73308.6421283585,9.227691777187314,18.6,14.598814217250414,0.0,0.0
Community area,Belmont Cragin,19,78151,17.123214511781423,69937.27463039989,9.194716214177577,15.2,15.797716327599902,12.75132458,9948.947887
Community area,West Ridge,2,77139,43.96958802132693,71334.90396562577,8.760562678355678,26.0,19.410325572315884,0.0,0.0
Community area,Hermosa,20,24127,22.407285446616637,70459.88115335886,9.162330315130038,17.0,13.674981103491403,41.48000674,9968.124367
Community area,Avondale,21,36245,47.10100383675628,91966.21809322323,9.066369190202975,16.1,13.210001447901234,26.50957916,9603.524291
Community area,Logan Square,22,71742,63.1521882793915,111832.89554093764,9.10531915677894,19.9,10.532036582070678,0.0,0.0
Community area,Humboldt Park,23,53832,23.617639411673963,58409.067092820536,9.238760723260768,16.5,26.772809632415342,68.62443285,36916.45392
Community area,West Town,24,87942,75.35694657195155,141145.37633519724,9.151376156253132,19.5,8.113390296034744,0.0,0.0
Community area,Austin,25,96753,16.12676872145552,51826.85140200681,9.315836640988472,19.0,23.39915665489515,74.60585595,71934.35548
Community area,West Garfield Park,26,17423,10.49682460180873,43272.653887734705,9.337613075619556,17.9,30.583343705550348,100.0,17398.65094
Community area,East Garfield Park,27,19995,22.80976999787857,39861.333804728056,9.293395573265046,18.4,37.25619502213175,100.0,19940.41098
Community area,Near West Side,28,67817,70.23418422899242,116881.23240702033,9.23300603940445,14.6,16.113466915331365,13.84953186,9359.300702
Community area,North Lawndale,29,34817,15.22690866027318,47668.100820325926,9.375797321419702,17.7,31.612369960064694,97.51054681,33871.59256
Community area,Uptown,3,55120,60.03712731007173,73109.52685334624,8.837164466765898,23.5,18.635561252762486,0.0,0.0
Community area,South Lawndale,30,71402,15.723680907157306,58666.08009178724,9.425200393360331,14.9,19.684704389396686,100.0,71204.63897
Community area,Lower West Side,31,33716,41.57947328205328,76947.75654793243,9.319188897553458,10.6,17.0483244470296,24.72275036,8279.786084
Community area,Loop,32,43440,84.11378477619621,119221.58409685314,9.141709164301863,17.8,11.145882421305094,0.0,0.0
Community area,Near South Side,33,27296,81.9106494110615,122423.50649646156,9.214116697608219,13.8,9.13743479542562,0.0,0.0
Community area,Armour Square,34,13847,29.552765541706126,45651.44933519941,9.281540375880446,13.1,23.472812800749498,72.96617804,10009.0516
Community area,Douglas,35,20292,38.293372338171345,60402.6353356295,9.272382927471611,21.6,25.07047708959416,14.29718964,2899.154346
Community area,Oakland,36,6803,35.73574761397353,32240.587511620397,9.262948290007818,18.0,37.55064414011809,0.0,0.0
Community area,Fuller Park,37,2549,12.527134229183492,22023.81053747795,9.376566954967226,12.3,56.092452602751834,100.0,2467.489021
Community area,Grand Boulevard,38,24586,38.74175927857019,58522.89942984056,9.333129178252852,16.9,26.07554221099235,16.04802478,3944.2676
Community area,Kenwood,39,19126,58.24408106498552,73799.33922476385,9.288214700715212,28.0,22.80303404528529,0.0,0.0
Community area,Lincoln Square,4,40412,67.35129376886113,91363.09353886107,8.869243711684517,28.3,9.492826160611601,0.0,0.0
Community area,Washington Park,40,12709,25.345416344760785,37542.62252253063,9.391484314253578,21.9,41.06961902426039,0.0,0.0
Community area,Hyde Park,41,29459,80.09598100956748,77008.65152391497,9.32135687389503,27.5,18.881849597331133,0.0,0.0
Community area,Woodlawn,42,25285,33.355533943543655,42469.38244910356,9.377276278274136,22.1,32.36085607108944,0.0,0.0
Community area,South Shore,43,51919,23.858622787402002,45587.395930458966,9.370737111332815,23.1,28.54911985536155,13.00884007,6716.0
Community area,Chatham,44,31804,29.220987682404402,48332.46061953288,9.53426704343865,20.1,24.344764397374455,68.14238343,21551.68843
Community area,Avalon Park,45,9359,33.79164033955781,60547.83129661174,9.461018949451542,22.0,10.37790970096969,65.17232176,6082.360786
Community area,South Chicago,46,27254,19.34365516741977,45124.71781639679,9.369249388142492,19.3,29.476482203078554,15.67486013,4270.974622
Community area,Burnside,47,2514,23.598409903094804,47058.44498363915,9.529792156785073,23.7,26.812367110551367,100.0,2508.127859
Community area,Calumet Heights,48,13085,39.54560198382007,65397.43058496081,9.467882647394802,20.4,17.59104477002359,0.0,0.0
Community area,Roseland,49,38934,22.682604626939714,54361.768530578505,9.62368343804608,22.3,22.685782857058463,75.36263171,29247.24459
Community area,North Center,5,35150,80.48847520808498,147701.19791605618,8.975682352797298,24.3,5.0468118230197225,0.0,0.0
Community area,Pullman,50,6866,34.76264960773356,62495.27857437895,9.588253814000096,19.3,17.155231426710444,76.72527823,5228.694194
Community area,South Deering,51,14125,15.739618052034558,47962.69064449837,9.570696366065144,14.1,30.915626842848553,100.0,13993.30736
Community area,East Side,52,21787,15.337023872884098,63386.104442290256,9.441940147433955,15.8,19.466462009908206,15.25095447,3305.737887
Community area,West Pullman,53,25940,17.845316945664383,54295.78081994608,9.726024245014925,26.0,23.492372895430137,24.38148549,6323.066371
Community area,Riverdale,54,7229,4.574088778068311,16946.246214701485,9.724582701428245,24.7,61.597492856021375,100.0,7188.542082
Community area,Hegewisch,55,9884,18.628028552422364,61745.599215031776,9.638421407958193,18.5,9.820789386820765,0.0,0.0
Community area,Garfield Ridge,56,35352,24.87664207027003,93530.6963911605,9.581984008566828,12.0,6.900916818973424,54.75036727,19319.93043
Community area,Archer Heights,57,14282,13.614240410313156,67121.40569175016,9.515035380879596,8.3,10.576309707906411,81.45816671,11548.67399
Community area,Brighton Park,58,45141,16.05040169348031,64056.544290970305,9.463563115399369,12.0,17.794420225613372,87.96189142,39494.07998
Community area,McKinley Park,59,15927,32.502416530144835,85030.15892961032,9.38523590086623,15.0,14.161813742668409,39.89461038,6319.502669
Community area,Lake View,6,103048,83.58780644496146,121377.33495574856,8.927360163456761,23.6,8.177883673684699,0.0,0.0
Community area,Bridgeport,60,33593,38.989736332993374,77773.97644318096,9.328993876877208,13.0,17.844483095439273,7.239494768,2419.937171
Community area,New City,61,43510,13.314456950756028,57802.12297779982,9.420513230766884,15.6,27.08528478539585,81.84416391,35596.64781
Community area,West Elsdon,62,18249,17.515448720487626,77751.55750530158,9.55951946274053,12.7,10.90822498749382,0.0,0.0
Community area,Gage Park,63,39439,11.91113169476069,62322.79043974873,9.518040504071141,14.6,15.489090166760377,67.02371148,26243.37415
Community area,Clearing,64,24519,22.84099090073283,80699.66444176168,9.623006424558863,8.8,8.050440864009609,0.0,0.0
Community area,West Lawn,65,33543,17.87196999711816,69578.52804161936,9.617468033126015,10.7,17.787533519787253,69.22804643,23197.83694
Community area,Chicago Lawn,66,55789,13.49550890581171,54010.640858633924,9.569830879380795,18.5,21.18835784130739,86.70892877,48232.98961
Community area,West Englewood,67,29899,10.833663896834382,41909.08573887645,9.520016000232085,25.9,31.99288761871559,73.00870302,21515.90098
Community area,Englewood,68,24322,12.263541051144356,32084.861861296926,9.478973294586979,24.7,33.43518239763257,73.42770567,17852.62688
Community area,Greater Grand Crossing,69,31543,20.37361107175506,42358.17755582547,9.473822574715824,21.4,29.790813437577118,56.37764138,17724.71415
Community area,Lincoln Park,7,70425,87.21685694589463,156895.9240216817,9.00417316476701,26.3,8.536916233911812,0.0,0.0
Community area,Ashburn,70,41280,21.676070181471808,83932.28062293658,9.637522552112719,15.3,11.16970473753626,38.1773615,15672.05979
Community area,Auburn Gresham,71,44959,19.463749693778226,48296.85167320638,9.582208851470874,18.7,28.01034327487869,69.32477981,31050.1843
Community area,Beverly,72,19950,57.76316989121767,130925.63311270237,9.66541042741069,40.5,5.8449425167862445,0.0,0.0
Community area,Washington Heights,73,25075,26.585552377192812,64755.74300878484,9.634029494240664,21.4,16.245325105477068,51.32315527,12847.30434
Community area,Mount Greenwood,74,18633,41.45898290910402,112562.28427843579,9.720878010235806,18.6,5.374587826358155,0.0,0.0
Community area,Morgan Park,75,21714,39.59929052736469,72941.34692784907,9.708487615409704,28.1,17.910979154342495,0.0,0.0
Community area,O'Hare,76,14416,40.47786073076895,81993.49818106442,9.12909798870507,,8.41023295172622,0.0,0.0
Community area,Edgewater,77,56308,62.17706835126184,75774.40968629313,8.760490001508694,26.3,16.394075360744196,0.0,0.0
Community area,Near North Side,8,97789,85.76820183096511,125101.3268858388,9.07259161874904,17.8,9.622477520972243,0.0,0.0
Community area,Edison Park,9,11521,57.58708030298425,130127.73198417123,8.913872687705629,23.4,8.120875814557536,0.0,0.0
